N,Spicy,120,8,Chicken Sukha,https://maps.app.goo.gl/tpqYyKoE9dedZwn49,images/chickensukha.jpg
N,Spicy,60,9,Chicken Noodles,https://maps.app.goo.gl/DvicWds2VGa2EfZ58,images/chickennoodles.jpg
V,Plain,25,8,Rumali Roti,https://maps.app.goo.gl/DvicWds2VGa2EfZ58,images/rumaliroti.jpg
V,Spicy,20,8,Pohe,https://maps.app.goo.gl/ip8PsNLEXw16Tn3a8,images/pohe.jpg
V,Sweet,10,8,Chai,https://maps.app.goo.gl/ip8PsNLEXw16Tn3a8,images/chai.jpg
V,Spicy,20,8,Pohe,https://maps.app.goo.gl/ip8PsNLEXw16Tn3a8,images/pohe.jpg
V,Spicy,15,7,Vada Pav,https://maps.app.goo.gl/ip8PsNLEXw16Tn3a8,images/vadapav.jpg
N,Spicy,120,8,Biryani,https://maps.app.goo.gl/eFzb9Rsn9BZ7R1abA,images/biryani.jpg
N,Spicy,120,8,Lollipop,https://maps.app.goo.gl/eFzb9Rsn9BZ7R1abA,images/lollipop.jpg
N,Spicy,60,7,Shawarma,https://maps.app.goo.gl/eFzb9Rsn9BZ7R1abA,images/shawarma.jpg
N,Spicy,120,7,Biryani,https://maps.app.goo.gl/LvNLzjvC6VC2sh3CA,
V,Sweet,20,10,Softy Ice cream,https://maps.app.goo.gl/WWVuUdHkqLDcKHQu6,
V,Sweet-Spicy-Tangy,30,10,Pani Puri,https://maps.app.goo.gl/Hc55yKrFGbAhNHJr6,
V,Sweet-Spicy-Tangy,30,   ,Samosa Chat,https://maps.app.goo.gl/Hc55yKrFGbAhNHJr6,
V,Sweet-Spicy-Tangy,40,10,Ragda,https://maps.app.goo.gl/Hc55yKrFGbAhNHJr6,
N,Spicy,50,10,Shawarma,https://maps.app.goo.gl/WFoe2JiR47RHrLjL8,
